J Balvin - Rojo | Artist Average: 8199103.69 | Streams Average: 5285026.00
SAINt JHN - Roses - Imanbek Remix | Artist Average: 14789072.50 | Streams Average: 14789072.50
Arizona Zervas - ROXANNE | Artist Average: 6330600.50 | Streams Average: 6330600.50
Joji - Run | Artist Average: 4955981.75 | Streams Average: 5375789.00
21 Savage - Runnin | Artist Average: 8069820.58 | Streams Average: 9721889.00
XXXTENTACION - SAD! | Artist Average: 5500910.00 | Streams Average: 5353376.67
Bad Bunny - Safaera | Artist Average: 5141390.89 | Streams Average: 5164178.40
Joji - Sanctuary | Artist Average: 5014471.56 | Streams Average: 5482390.00
Jawsh 685 - Savage Love (Laxed - Siren Beat) | Artist Average: 13993310.10 | Streams Average: 17864345.83
Jawsh 685 - Savage Love (Laxed – Siren Beat) [BTS Remix] | Artist Average: 11317214.29 | Streams Average: 8186756.50
Doja Cat - Say So | Artist Average: 5750568.33 | Streams Average: 5750568.33
James Arthur - Say You Won't Let Go | Artist Average: 6419067.38 | Streams Average: 6178271.33
Regard - Secrets | Artist Average: 6084465.17 | Streams Average: 5178107.00
Lele Pons - Se Te Nota (with Guaynaa) | Artist Average: 10649569.33 | Streams Average: 10649569.33
Shawn Mendes - Señorita | Artist Average: 11528988.00 | Streams Average: 8186042.33
Earth, Wind & Fire - September | Artist Average: 5329256.00 | Streams Average: 5329256.00
Lady Gaga - Shallow | Artist Average: 8256531.45 | Streams Average: 7184267.17
Ed Sheeran - Shape of You | Artist Average: 5327551.00 | Streams Average: 5494900.67
Travis Scott - SICKO MODE | Artist Average: 8200022.33 | Streams Average: 7043445.00
21 Savage - Slidin | Artist Average: 6672014.86 | Streams Average: 8243488.00
Joji - SLOW DANCING IN THE DARK | Artist Average: 4830689.60 | Streams Average: 4730028.00
Juice WRLD - Smile (with The Weeknd) | Artist Average: 7951491.87 | Streams Average: 7444244.00
21 Savage - Snitches & Rats (feat. Young Nudy) | Artist Average: 6594633.50 | Streams Average: 5846760.00
The Kid LAROI - SO DONE | Artist Average: 7926601.00 | Streams Average: 7926601.00
Clairo - Sofia | Artist Average: 8037335.25 | Streams Average: 8037335.25
Adele - Someone Like You | Artist Average: 4703672.00 | Streams Average: 4703672.00
BANNERS - Someone To You | Artist Average: 5702522.50 | Streams Average: 5702522.50
Lewis Capaldi - Someone You Loved | Artist Average: 11703977.07 | Streams Average: 13449644.50
The Chainsmokers - Something Just Like This | Artist Average: 4667072.40 | Streams Average: 4667072.40
Ty Dolla $ign - Spicy (feat. Post Malone) | Artist Average: 9751853.00 | Streams Average: 9751853.00
Lil Peep - Star Shopping | Artist Average: 4835592.00 | Streams Average: 4835592.00
21 Savage - Steppin On Niggas | Artist Average: 7172212.13 | Streams Average: 4853661.00
Labrinth - Still Don't Know My Name | Artist Average: 7040556.00 | Streams Average: 7040556.00
Ariana Grande - Stuck with U (with Justin Bieber) | Artist Average: 9638141.43 | Streams Average: 8941305.83
Curtis Waters - Stunnin' (feat. Harm Franklin) | Artist Average: 5889472.00 | Streams Average: 5889472.00
Surfaces - Sunday Best | Artist Average: 5433096.67 | Streams Average: 5433096.67
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse | Artist Average: 7177131.71 | Streams Average: 7672185.17
BENEE - Supalonely | Artist Average: 5461740.75 | Streams Average: 5461740.75
The Neighbourhood - Sweater Weather | Artist Average: 5657930.90 | Streams Average: 6028701.17
Ava Max - Sweet but Psycho | Artist Average: 7543291.50 | Streams Average: 4502853.00
Little Mix - Sweet Melody | Artist Average: 5992663.00 | Streams Average: 5992663.00
Harry Nach - Tak Tiki Tak | Artist Average: 4855116.00 | Streams Average: 4855116.00
Hozier - Take Me To Church | Artist Average: 4808163.00 | Streams Average: 4808163.00
Jason Derulo - Take You Dancing | Artist Average: 12707314.33 | Streams Average: 12707314.33
Saweetie - Tap In | Artist Average: 5392879.50 | Streams Average: 5392879.50
Rauw Alejandro - Tattoo - Remix with Camilo | Artist Average: 8170400.00 | Streams Average: 11741295.83
Ariana Grande - thank u, next | Artist Average: 5079328.00 | Streams Average: 5079328.00
Roddy Ricch - The Box | Artist Average: 8178284.17 | Streams Average: 8178284.17
Tame Impala - The Less I Know The Better | Artist Average: 4827157.83 | Streams Average: 4827157.83
THE SCOTTS - THE SCOTTS | Artist Average: 5533135.83 | Streams Average: 5533135.83
Pop Smoke - The Woo (feat. 50 Cent & Roddy Ricch) | Artist Average: 11139294.90 | Streams Average: 8102193.50
Ed Sheeran - Thinking out Loud | Artist Average: 5277840.00 | Streams Average: 4821017.67
Joji - Tick Tock | Artist Average: 5067818.30 | Streams Average: 5547939.00
Clean Bandit - Tick Tock (feat. 24kGoldn) | Artist Average: 6794383.17 | Streams Average: 6794383.17
ROSALÍA - TKN (feat. Travis Scott) | Artist Average: 5509516.60 | Streams Average: 5509516.60
Drake - Toosie Slide | Artist Average: 11590746.75 | Streams Average: 7562556.83
James Arthur - Train Wreck | Artist Average: 6770370.25 | Streams Average: 7141455.50
